3288	0	150	128	773	2	0
128508	514	10	22	26	7	4260354	0	1
129564	514	20	42	46	9	8519937	0	1
129570	258	20	42	46	1	8519937	0	1
129576	257	20	42	171	5	8519937	0	1
132687	257	10	22	26	9	4260354	0	1
132693	513	10	22	26	3	4260354	0	1
132699	514	10	22	26	7	4260354	0	1
133743	514	20	42	46	9	8519937	0	1
133749	258	20	42	46	1	8519937	0	1
133755	257	20	42	170	5	8519937	0	1
136865	257	10	22	26	9	4260354	0	1
136871	513	10	22	26	3	4260354	0	1
136877	514	10	22	26	7	4260354	0	1
137932	514	20	42	46	9	8519937	0	1
137938	258	20	42	46	1	8519937	0	1
137944	257	20	42	170	5	8519937	0	1
141054	257	10	22	26	9	4260354	0	1
141060	513	10	22	26	3	4260354	0	1
141066	514	10	22	26	7	4260354	0	1
142120	514	20	42	46	9	8519937	0	1
142126	258	20	42	46	1	8519937	0	1
142132	257	20	42	171	5	8519937	0	1
145243	257	10	22	26	9	4260354	0	1
145249	513	10	22	26	3	4260354	0	1
145255	514	10	22	26	7	4260354	0	1
146274	514	20	42	46	9	8519937	0	1
146280	258	20	42	46	1	8519937	0	1
146286	257	20	42	171	5	8519937	0	1
149397	257	10	22	26	9	4260354	0	1
149403	513	10	22	26	3	4260354	0	1
149409	514	10	22	26	7	4260354	0	1
150441	514	20	42	46	9	8519937	0	1
150447	258	20	42	46	1	8519937	0	1
150453	257	20	42	171	5	8519937	0	1
153564	257	10	22	26	9	4260354	0	1
153570	513	10	22	26	3	4260354	0	1
153576	514	10	22	26	7	4260354	0	1
154632	514	20	42	46	9	8519937	0	1
154638	258	20	42	46	1	8519937	0	1
154644	257	20	42	171	5	8519937	0	1
157755	257	10	22	26	9	4260354	0	1
157761	513	10	22	26	3	4260354	0	1
157767	514	10	22	26	7	4260354	0	1
158811	514	20	42	46	9	8519937	0	1
158817	258	20	42	46	1	8519937	0	1
158823	257	20	42	170	5	8519937	0	1
161933	257	10	22	26	9	4260354	0	1
161939	513	10	22	26	3	4260354	0	1
161945	514	10	22	26	7	4260354	0	1
163000	514	20	42	46	9	8519937	0	1
163006	258	20	42	46	1	8519937	0	1
163012	257	20	42	170	5	8519937	0	1
166122	257	10	22	26	9	4260354	0	1
166128	513	10	22	26	3	4260354	0	1
166134	514	10	22	26	7	4260354	0	1
167188	514	20	42	46	9	8519937	0	1
167194	258	20	42	46	1	8519937	0	1
167200	257	20	42	171	5	8519937	0	1
